id,x,y,deg
001_0,s-51.739065428192063,s33.396858594874345,s45.000000000000000
002_0,s-4.771116268038815,s0.928559901613278,s23.629377730552051
002_1,s-4.462922128796255,s1.451478416224009,s203.629377730552051
003_0,s0.676583156710393,s1.220433789439918,s155.134051937100821
003_1,s1.268924212323479,s1.315974723490297,s66.370622269343002
003_2,s1.166348979793185,s0.823969349432162,s111.125132292892999
004_0,s0.266333071920136,s0.224004216321549,s336.370620958906784
004_1,s0.256939654833789,s1.088224178989581,s156.370620958030145
004_2,s0.897041793603099,s1.088224179167162,s156.370619945947709
004_3,s0.906435195141836,s0.224004216111348,s336.370619948731871
005_0,s1.211062079441548,s0.391559852604545,s112.573513701835239
005_1,s0.814880805972085,s0.608636807071948,s66.358804344596194
005_2,s1.097257910032841,s1.221758068743181,s203.885973890721658
005_3,s0.289823797085473,s1.191411548076009,s293.629377731035390
005_4,s0.301492357644345,s0.281667012944947,s23.629377832319321
006_0,s0.592410726905336,s0.646860481735485,s338.872326129912835
006_1,s0.199442190860481,s1.126329127146232,s293.629377716820954
006_2,s0.306804379371089,s0.277752840017044,s23.629377802287109
006_3,s1.208115000798421,s1.233394731005958,s158.872325192438581
006_4,s1.208115702451845,s0.344145387852952,s338.872008669191871
006_5,s0.666428043798519,s0.219200727753101,s246.370622270571346
007_0,s0.699694536592374,s0.312008132370339,s213.521586019949581
007_1,s1.448428932729808,s0.982558425504717,s65.196059321261913
007_2,s0.361658335354388,s0.367093709559265,s27.817029164569078
007_3,s0.201568414781814,s-0.020552886257791,s252.818722890697728
007_4,s0.457289809659606,s1.106283614987234,s207.817029164764790
007_5,s1.340788562409746,s-0.116050399186663,s336.370622251218663
007_6,s1.230452414555599,s0.424616433468976,s37.461498842890805
008_0,s0.401764781429965,s-0.236021275887761,s305.401492495638479
008_1,s1.641412302471352,s-0.288414241015832,s336.370633418022351
008_2,s1.755597365675078,s0.960171573721796,s125.401488303856596
008_3,s1.256610418341102,s-0.057869495437876,s125.401488187004915
008_4,s0.847384714448692,s0.511867474994310,s125.401493659654207
008_5,s1.309977391087734,s0.212282873344728,s305.401488118001168
008_6,s0.515949912494197,s1.012564635745444,s156.370610340606731
008_7,s0.900751736812297,s0.782019784802261,s305.401488300186259
009_0,s0.619820020083270,s1.407095504255777,s204.793698629137992
009_1,s1.572680338473832,s0.633750198033700,s113.629377724364304
009_2,s0.963351247170847,s1.624294091699478,s249.884959646276030
009_3,s1.368730537676768,s1.859720552817743,s293.629377729242833
009_4,s1.848707180503167,s1.447423852012307,s336.370622280622001
009_5,s1.283811690428378,s1.163766281321248,s154.944764940350240
009_6,s0.632956444160374,s0.527344478146015,s24.429768232075375
009_7,s1.824576915583592,s1.034984151779164,s205.529875144772092
009_8,s0.514412511306129,s1.819599464835482,s296.805808236966584
010_0,s0.179198702760228,s0.204876313620320,s23.629367788359058
010_1,s1.016212699267598,s1.587837032087039,s290.150573156838448
010_2,s1.060716007465071,s0.660957736819783,s292.608284531741731
010_3,s0.625720765437983,s0.656868863858549,s70.421617432417719
010_4,s0.662486689965310,s1.259406000614544,s246.345882281607601
010_5,s0.981795472585250,s0.320869490598251,s115.558969430562641
010_6,s1.473356933805060,s0.189294861461394,s338.605945553261392
010_7,s0.591330544035929,s1.595441280273858,s66.345809329190857
010_8,s0.213809841032639,s1.103607649678014,s21.400716798018095
010_9,s1.477202524075713,s1.161617817968927,s336.262530993456267
011_0,s1.062980828189268,s-0.316848374288686,s340.767283956914923
011_1,s0.681205113425763,s0.162217955641963,s297.088735406849139
011_2,s0.660869617593831,s1.181160791813096,s293.691550732501639
011_3,s-0.318136057619810,s-0.317110718979587,s23.689139396403014
011_4,s0.234745566221273,s1.181955684809063,s66.370717199302476
011_5,s0.624290653648149,s-0.171889185484777,s116.623617597864111
011_6,s1.066136050638632,s0.708449298368814,s339.256342930729829
011_7,s-0.302479208618129,s0.540273883496401,s203.689145553467995
011_8,s0.300284157075826,s0.822619908842098,s242.099570958358157
011_9,s-0.254763744104864,s0.801229942827979,s28.750053862750089
011_10,s0.318586394082089,s0.357080079132577,s158.222679981915832
012_0,s0.726207521106965,s0.823979936889784,s296.937192391308542
012_1,s1.346685479039260,s1.476960023994850,s116.938353558062133
012_2,s1.804880225346924,s0.262054177478221,s336.370622341345324
012_3,s1.795926488975010,s1.335900505716154,s340.345744464642621
012_4,s0.849576348204389,s0.409977251560978,s116.074837306360436
012_5,s0.345150696537568,s0.775477025513744,s155.284392173457917
012_6,s0.322754831872462,s1.079570736090522,s333.087929570917709
012_7,s1.095152488761889,s0.363153236576659,s296.074919500671854
012_8,s1.732413464220834,s1.009455434012396,s114.487154863082154
012_9,s1.406658835287654,s1.812613667016854,s296.025949668814917
012_10,s0.372757112991848,s1.951350396351895,s153.087930175750643
012_11,s0.953880971055633,s1.950129038334886,s161.122983760983061
013_0,s1.994616635594077,s1.810337682353659,s113.629662502128085
013_1,s1.134870104322628,s1.562152292968796,s115.749075778093058
013_2,s1.994320455285029,s0.347834280992841,s111.112798640433496
013_3,s0.774718960346809,s1.900719677638345,s66.370623648719558
013_4,s1.207928222968376,s1.900716049004718,s293.629662508657134
013_5,s1.178022028548579,s0.971319776460141,s106.140756743586721
013_6,s0.220915516732052,s0.386093960116233,s294.664772633712971
013_7,s0.221361849377230,s0.948423232799763,s288.779715953738844
013_8,s1.522257700762658,s0.757339643408330,s156.927767451614272
013_9,s1.050870963585692,s0.355175427140433,s114.664772613303398
013_10,s0.336889400113735,s1.445999603689457,s19.936445510814377
013_11,s1.329073516378137,s1.182164429890911,s289.192553747220700
013_12,s1.861560309789880,s0.833649333055207,s334.345861465496114
014_0,s0.684758672044324,s1.826998562274013,s301.085114448529566
